"Fecha","VIX","SP500","DOW","NASDAQ","RUSSELL","GOLD","OIL","US10Y","US2Y","DOLLAR","EUROPE","Guerra6m"
2020-09-18,25.8299999237061,3319.46997070312,27657.419921875,10793.2802734375,1536.78002929688,1952.09997558594,41.1100006103516,0.694000005722046,0.0829999968409538,92.9300003051758,3283.68994140625,0
2020-09-25,26.3799991607666,3298.4599609375,27173.9609375,10913.5595703125,1474.91003417969,1857.69995117188,40.25,0.658999979496002,0.0900000035762787,94.5800018310547,3137.06005859375,0
2020-10-02,27.6299991607666,3348.419921875,27682.810546875,11075.01953125,1539.30004882812,1900.19995117188,37.0499992370605,0.695999979972839,0.0850000008940697,93.8399963378906,3190.92993164062,0
2020-10-09,25,3477.13989257812,28586.900390625,11579.9404296875,1637.55004882812,1919.5,40.5999984741211,0.774999976158142,0.0930000022053719,93.0599975585938,3273.1201171875,0
2020-10-16,27.4099998474121,3483.81005859375,28606.310546875,11671.5595703125,1633.81005859375,1900.80004882812,40.8800010681152,0.744000017642975,0.0900000035762787,93.6800003051758,3245.46997070312,0
2020-10-23,27.5499992370605,3465.38989257812,28335.5703125,11548.2802734375,1640.5,1902,39.8499984741211,0.841000020503998,0.0829999968409538,92.7699966430664,3198.86010742188,0
2020-10-30,38.0200004577637,3269.9599609375,26501.599609375,10911.58984375,1538.47998046875,1877.40002441406,35.7900009155273,0.860000014305115,0.0829999968409538,94.0400009155273,2958.2099609375,0
2020-11-06,24.8600006103516,3509.43994140625,28323.400390625,11895.23046875,1648.26000976562,1950.30004882812,37.1399993896484,0.819999992847443,0.0829999968409538,92.2300033569336,3204.05004882812,0
2020-11-13,23.1000003814697,3585.14990234375,29479.810546875,11829.2900390625,1744.0400390625,1885.69995117188,40.1300010681152,0.89300000667572,0.0829999968409538,92.7600021362305,3432.07006835938,0
2020-11-20,23.7000007629395,3557.5400390625,29263.48046875,11854.9697265625,1785.33996582031,1872.59997558594,42.1500015258789,0.828999996185303,0.0579999983310699,92.3899993896484,3467.60009765625,0
2020-11-27,20.8400001525879,3638.35009765625,29910.369140625,12205.849609375,1855.27001953125,1781.90002441406,45.5299987792969,0.842000007629395,0.0729999989271164,91.7900009155273,3527.7900390625,0
2020-12-04,20.7900009155273,3699.1201171875,30218.259765625,12464.23046875,1892.44995117188,1835.90002441406,46.2599983215332,0.968999981880188,0.0750000029802322,90.6999969482422,3539.27001953125,0
2020-12-11,23.3099994659424,3663.4599609375,30046.369140625,12377.8701171875,1911.69995117188,1839.80004882812,46.5699996948242,0.89300000667572,0.0649999976158142,90.9800033569336,3485.84008789062,0
2020-12-18,21.5699996948242,3709.40991210938,30179.05078125,12755.6396484375,1969.98999023438,1885.69995117188,49.0999984741211,0.948000013828278,0.0799999982118607,90.0199966430664,3545.73999023438,0
2020-12-24,21.5300006866455,3703.06005859375,30199.869140625,12804.73046875,2003.94995117188,1879.90002441406,48.2299995422363,0.927999973297119,0.0750000029802322,90.3300018310547,3578.84334309896,0
2020-12-31,22.75,3756.07006835938,30606.48046875,12888.2802734375,1974.85998535156,1893.09997558594,48.5200004577637,0.916999995708466,0.0649999976158142,89.9400024414062,3611.94669596354,0
2021-01-08,21.5599994659424,3824.67993164062,31097.970703125,13201.98046875,2091.65991210938,1834.09997558594,52.2400016784668,1.10500001907349,0.0799999982118607,90.0999984741211,3645.05004882812,0
2021-01-15,24.3400001525879,3768.25,30814.259765625,12998.5,2123.19995117188,1829.30004882812,52.3600006103516,1.09700000286102,0.0750000029802322,90.7799987792969,3599.55004882812,0
2021-01-22,21.9099998474121,3841.46997070312,30996.98046875,13543.0595703125,2168.76000976562,1855.69995117188,52.2700004577637,1.09099996089935,0.0700000002980232,90.2399978637695,3602.40991210938,0
2021-01-29,33.0900001525879,3714.23999023438,29982.619140625,13070.6904296875,2073.63989257812,1847.30004882812,52.2000007629395,1.09300005435944,0.0480000004172325,90.5800018310547,3481.43994140625,0
2021-02-05,20.8700008392334,3886.830078125,31148.240234375,13856.2998046875,2233.330078125,1810.90002441406,56.8499984741211,1.16999995708466,0.0230000000447035,91.0400009155273,3655.77001953125,0
2021-02-12,19.9699993133545,3934.830078125,31458.400390625,14095.4697265625,2289.36010742188,1821.59997558594,59.4700012207031,1.20000004768372,0.0350000001490116,90.4800033569336,3695.61010742188,0
2021-02-19,22.0499992370605,3906.7099609375,31494.3203125,13874.4599609375,2266.68994140625,1775.80004882812,59.2400016784668,1.34500002861023,0.0230000000447035,90.3600006103516,3713.4599609375,0
2021-02-26,27.9500007629395,3811.14990234375,30932.369140625,13192.349609375,2201.05004882812,1728.09997558594,61.5,1.46000003814697,0.0350000001490116,90.9300003051758,3636.43994140625,0
2021-03-05,24.6599998474121,3841.93994140625,31496.30078125,12920.150390625,2192.2099609375,1698,66.0899963378906,1.55400002002716,0.0280000008642673,91.9800033569336,3669.5400390625,0
2021-03-12,20.6900005340576,3943.34008789062,32778.640625,13319.8603515625,2352.7900390625,1719.5,65.6100006103516,1.63499999046326,0.025000000372529,91.6800003051758,3833.36010742188,0
